               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.032662,           0.0095063,           0.0046938,              0.9285,             0.92079,             0.94281,             0.52025,            0.030764,           0.0072174,           0.0031005,             0.00472,             0.00472,             0.00472
                  82,            0.032902,           0.0092395,           0.0043131,             0.92343,             0.91681,             0.93217,             0.52248,            0.035197,            0.007272,            0.003038,            0.004654,            0.004654,            0.004654
                  83,            0.031962,           0.0094172,           0.0044557,             0.92108,             0.91255,             0.93384,             0.51343,            0.030695,           0.0072039,            0.003041,            0.004588,            0.004588,            0.004588
                  84,            0.031073,           0.0088678,            0.004029,             0.93433,             0.92237,             0.94482,              0.5333,            0.030085,           0.0071424,           0.0028949,            0.004522,            0.004522,            0.004522
                  85,            0.031792,           0.0091374,           0.0045296,              0.9332,             0.91845,             0.93926,              0.5299,            0.028177,           0.0070917,           0.0028412,            0.004456,            0.004456,            0.004456
                  86,            0.033381,           0.0090948,           0.0041936,             0.92006,             0.90676,              0.9285,             0.51252,            0.031946,           0.0070476,           0.0029218,             0.00439,             0.00439,             0.00439
                  87,             0.03101,           0.0095217,           0.0043014,             0.93712,             0.93865,             0.94527,             0.52992,             0.03087,           0.0071449,           0.0029262,            0.004324,            0.004324,            0.004324
                  88,            0.031296,           0.0091912,           0.0042272,             0.93206,              0.9329,             0.93835,             0.53209,            0.032796,           0.0071702,           0.0028692,            0.004258,            0.004258,            0.004258
                  89,             0.03078,           0.0092459,           0.0041488,              0.9252,             0.89785,             0.94503,             0.51487,            0.031679,           0.0072393,           0.0028495,            0.004192,            0.004192,            0.004192
                  90,            0.031996,           0.0089211,           0.0038826,             0.93451,             0.92319,             0.95192,             0.52414,            0.031215,           0.0071576,           0.0028128,            0.004126,            0.004126,            0.004126
                  91,            0.030903,           0.0093248,           0.0040529,             0.93527,             0.94168,             0.95063,             0.51091,            0.031208,            0.007193,           0.0027731,             0.00406,             0.00406,             0.00406
                  92,            0.031683,           0.0091971,           0.0039971,             0.92337,             0.94609,             0.95407,             0.51369,            0.029536,           0.0072511,           0.0027532,            0.003994,            0.003994,            0.003994
                  93,            0.030668,           0.0086206,           0.0037078,             0.92811,             0.92593,             0.94888,             0.50939,             0.02999,           0.0071546,           0.0027503,            0.003928,            0.003928,            0.003928
                  94,            0.031814,           0.0096531,           0.0040804,             0.94581,              0.9363,             0.95581,             0.52469,            0.029342,           0.0071226,           0.0027434,            0.003862,            0.003862,            0.003862
                  95,            0.030885,            0.008997,           0.0039458,             0.94925,             0.93478,             0.95153,             0.51596,            0.031551,           0.0071974,           0.0026937,            0.003796,            0.003796,            0.003796
                  96,            0.031081,           0.0090968,           0.0042648,             0.94019,             0.93102,             0.94982,              0.5141,            0.032625,           0.0072066,           0.0026512,             0.00373,             0.00373,             0.00373
                  97,            0.032531,           0.0092294,           0.0042086,             0.92757,             0.92339,             0.93764,             0.50694,            0.033509,           0.0072442,           0.0026424,            0.003664,            0.003664,            0.003664
                  98,             0.03166,           0.0093804,           0.0042779,             0.93661,             0.94162,             0.95499,             0.52005,            0.030612,            0.007166,           0.0026809,            0.003598,            0.003598,            0.003598
                  99,            0.031539,           0.0089888,           0.0041652,             0.94049,              0.9419,             0.95111,             0.51795,            0.031665,           0.0070902,            0.002719,            0.003532,            0.003532,            0.003532
                 100,            0.032093,           0.0096608,           0.0047109,              0.9431,             0.93995,             0.95048,             0.51066,             0.02984,           0.0070709,           0.0027517,            0.003466,            0.003466,            0.003466
                 101,            0.029907,           0.0088304,            0.004124,             0.93427,             0.93739,             0.94832,             0.50804,             0.03311,           0.0071189,           0.0026678,              0.0034,              0.0034,              0.0034
                 102,            0.030193,           0.0088205,           0.0039593,              0.9505,             0.95464,             0.95362,              0.5252,            0.031464,           0.0071607,           0.0025969,            0.003334,            0.003334,            0.003334
                 103,            0.029768,           0.0088067,           0.0037916,             0.91595,              0.9216,             0.93861,             0.52439,            0.030936,           0.0070787,           0.0026209,            0.003268,            0.003268,            0.003268
                 104,            0.031523,           0.0092074,           0.0038128,             0.92346,             0.92614,             0.94869,             0.52871,            0.029733,           0.0070324,           0.0026258,            0.003202,            0.003202,            0.003202
                 105,            0.030553,           0.0088296,           0.0039026,              0.9356,             0.93357,             0.94587,             0.51831,            0.029889,           0.0071429,           0.0025946,            0.003136,            0.003136,            0.003136
                 106,            0.030368,           0.0088912,           0.0039224,              0.9442,              0.9481,              0.9541,             0.51829,            0.028996,           0.0071877,             0.00257,             0.00307,             0.00307,             0.00307
                 107,             0.03034,           0.0095354,           0.0037939,             0.93105,             0.92085,             0.93938,             0.52581,            0.028603,           0.0071157,            0.002575,            0.003004,            0.003004,            0.003004
                 108,            0.029307,           0.0087514,           0.0037298,             0.93777,             0.93049,             0.93892,             0.50847,            0.029535,           0.0070777,           0.0025659,            0.002938,            0.002938,            0.002938
                 109,            0.030176,            0.009222,           0.0040085,             0.94249,             0.93857,             0.94695,             0.52551,            0.030321,           0.0070888,           0.0025474,            0.002872,            0.002872,            0.002872
                 110,            0.029922,            0.009094,           0.0038303,             0.92762,             0.93586,             0.94915,             0.51195,            0.031501,            0.007195,           0.0025583,            0.002806,            0.002806,            0.002806
                 111,            0.029593,           0.0087754,           0.0038129,             0.90493,             0.91681,             0.93923,             0.52456,            0.028919,           0.0071165,           0.0025709,             0.00274,             0.00274,             0.00274
                 112,            0.030273,           0.0094666,           0.0039196,             0.94457,             0.93443,             0.94718,             0.50395,            0.029087,           0.0071406,           0.0025642,            0.002674,            0.002674,            0.002674
                 113,            0.029485,           0.0090411,           0.0039232,             0.93775,             0.93367,             0.94446,             0.51369,            0.030594,           0.0072213,           0.0025878,            0.002608,            0.002608,            0.002608
                 114,            0.029816,           0.0090414,           0.0040227,             0.95226,             0.94611,             0.95432,              0.5186,            0.032839,           0.0071845,           0.0025668,            0.002542,            0.002542,            0.002542
                 115,             0.03005,           0.0089165,           0.0040505,             0.94177,             0.93666,             0.94025,             0.51682,            0.031257,           0.0072005,           0.0025664,            0.002476,            0.002476,            0.002476
                 116,            0.028846,           0.0093127,           0.0037315,             0.95841,             0.95253,             0.96287,             0.50598,            0.029533,           0.0071649,           0.0025439,             0.00241,             0.00241,             0.00241
                 117,             0.02903,           0.0091133,            0.003702,             0.95766,             0.95305,             0.95827,             0.52716,            0.029827,           0.0070169,           0.0025243,            0.002344,            0.002344,            0.002344
                 118,            0.028781,            0.008856,           0.0035099,             0.94923,             0.94411,             0.96116,             0.51918,            0.028393,           0.0070095,           0.0024891,            0.002278,            0.002278,            0.002278
                 119,            0.028523,           0.0080916,           0.0040955,             0.92509,             0.93154,               0.954,             0.52434,            0.027644,           0.0070618,           0.0024648,            0.002212,            0.002212,            0.002212
                 120,            0.029065,           0.0087426,           0.0036742,             0.94773,             0.95612,             0.96523,              0.5226,             0.03054,           0.0070178,           0.0024345,            0.002146,            0.002146,            0.002146
                 121,            0.028669,           0.0083843,           0.0036591,             0.92579,             0.94168,             0.95867,             0.51486,            0.028479,           0.0069625,           0.0023838,             0.00208,             0.00208,             0.00208
                 122,            0.028992,           0.0089234,           0.0036964,             0.94965,             0.95069,             0.96307,             0.52043,            0.030022,           0.0069607,           0.0024022,            0.002014,            0.002014,            0.002014
                 123,            0.027964,           0.0088401,           0.0036412,             0.91058,             0.92218,             0.93971,             0.51617,            0.032003,           0.0070853,           0.0024331,            0.001948,            0.001948,            0.001948
                 124,            0.028311,           0.0091623,           0.0034378,              0.9306,             0.93907,             0.94775,             0.52576,            0.029552,           0.0070164,           0.0024522,            0.001882,            0.001882,            0.001882
                 125,            0.027311,           0.0081995,           0.0033737,             0.95025,             0.94463,             0.95326,             0.52618,            0.030763,           0.0070753,           0.0023914,            0.001816,            0.001816,            0.001816
                 126,            0.028728,           0.0088376,           0.0037915,             0.94344,             0.95017,             0.95303,             0.52958,            0.027994,           0.0070058,           0.0023702,             0.00175,             0.00175,             0.00175
                 127,               0.028,           0.0089725,           0.0035447,              0.9493,             0.94453,             0.95303,             0.52012,            0.028935,           0.0071193,           0.0023691,            0.001684,            0.001684,            0.001684
                 128,            0.028148,           0.0088281,           0.0035022,             0.94651,             0.94029,             0.94823,             0.52525,            0.030288,           0.0071317,           0.0023892,            0.001618,            0.001618,            0.001618
                 129,            0.028223,           0.0084115,           0.0034214,             0.93885,             0.93217,              0.9396,             0.52484,            0.030086,            0.007095,           0.0023687,            0.001552,            0.001552,            0.001552
                 130,            0.028532,           0.0090717,           0.0039709,             0.92172,              0.9283,              0.9392,             0.52745,            0.029535,           0.0070039,           0.0023462,            0.001486,            0.001486,            0.001486
                 131,            0.027685,           0.0084309,           0.0034183,              0.9376,             0.94423,             0.95146,             0.52066,            0.031571,           0.0070434,           0.0023289,             0.00142,             0.00142,             0.00142
                 132,            0.027994,           0.0086453,           0.0034686,             0.95514,              0.9488,             0.96653,             0.52861,            0.030298,           0.0070717,           0.0023378,            0.001354,            0.001354,            0.001354
                 133,            0.026598,           0.0084405,           0.0033186,             0.96055,             0.95182,             0.96973,             0.52532,            0.032547,           0.0070651,           0.0023352,            0.001288,            0.001288,            0.001288
                 134,            0.028681,           0.0090467,           0.0038038,             0.94347,             0.93473,             0.94847,             0.51532,            0.030428,           0.0070885,           0.0023155,            0.001222,            0.001222,            0.001222
                 135,            0.027758,           0.0092834,           0.0033712,             0.94772,             0.93344,             0.94986,               0.527,            0.031101,            0.007063,           0.0023132,            0.001156,            0.001156,            0.001156
                 136,            0.027274,           0.0086118,           0.0033425,             0.95744,             0.94638,             0.96585,             0.52783,            0.029885,            0.007097,           0.0023085,             0.00109,             0.00109,             0.00109
                 137,            0.027479,           0.0086946,           0.0035331,             0.95207,              0.9432,              0.9573,             0.51719,            0.029747,           0.0070758,           0.0022886,            0.001024,            0.001024,            0.001024
                 138,            0.026713,           0.0088288,             0.00343,             0.96913,             0.95991,             0.96873,             0.51939,            0.029186,           0.0071073,           0.0022791,            0.000958,            0.000958,            0.000958
                 139,             0.02695,           0.0088014,           0.0034485,             0.93453,             0.94123,             0.95221,             0.52877,            0.029132,           0.0070807,           0.0022741,            0.000892,            0.000892,            0.000892
                 140,            0.027113,           0.0083285,           0.0034592,             0.95197,             0.94389,             0.95824,             0.52591,            0.028284,            0.007096,           0.0022835,            0.000826,            0.000826,            0.000826
                 141,            0.027191,           0.0089479,           0.0033793,             0.93795,             0.93217,             0.94095,             0.51028,            0.029989,           0.0071572,           0.0022939,             0.00076,             0.00076,             0.00076
                 142,            0.026023,           0.0082327,            0.003285,             0.94707,             0.94089,             0.95097,             0.52144,            0.028712,           0.0070762,           0.0022844,            0.000694,            0.000694,            0.000694
                 143,            0.026629,           0.0083249,           0.0034403,              0.9479,             0.94053,             0.94963,             0.51541,            0.030089,           0.0071851,            0.002275,            0.000628,            0.000628,            0.000628
                 144,            0.026573,           0.0085941,           0.0030837,             0.94919,             0.94019,             0.95199,             0.51747,            0.030457,            0.007138,           0.0022692,            0.000562,            0.000562,            0.000562
                 145,            0.026741,           0.0086331,           0.0037051,             0.94942,             0.93969,             0.95183,             0.52159,            0.029653,           0.0070897,           0.0022476,            0.000496,            0.000496,            0.000496
                 146,             0.02629,           0.0081376,           0.0033793,             0.94084,             0.93068,             0.94456,             0.51703,            0.029571,            0.007113,           0.0022293,             0.00043,             0.00043,             0.00043
                 147,            0.026609,           0.0086731,           0.0031553,             0.94846,             0.93932,             0.95391,             0.51764,            0.029423,           0.0071177,           0.0022188,            0.000364,            0.000364,            0.000364
                 148,            0.026067,           0.0086079,           0.0032266,             0.96554,             0.95607,             0.97082,             0.51915,            0.029049,           0.0071192,           0.0022072,            0.000298,            0.000298,            0.000298
                 149,            0.027039,            0.008176,           0.0032086,             0.96095,             0.95222,              0.9703,             0.52329,             0.02918,           0.0070584,            0.002197,            0.000232,            0.000232,            0.000232
